q_num	question	_golden
894	How far is it from Denver to Aspen?	TRUE
895	What county is Modesto, California in?	TRUE
896	Who was Galileo?	TRUE
897	What is an atom?	TRUE
898	When did Hawaii become a state?	TRUE
899	How tall is the Sears Building?	TRUE
900	George Bush purchased a small interest in which baseball team?	TRUE
901	What is Australia's national flower?	TRUE
902	Why does the moon turn orange?	TRUE
903	What is autism?	TRUE
904	What city had a world fair in 1900?	TRUE
905	What person's head is on a dime?	TRUE
906	What is the average weight of a Yellow Labrador?	TRUE
907	Who was the first man to fly across the Pacific Ocean?	TRUE
908	When did Idaho become a state?	TRUE
909	What is the life expectancy for crickets?	TRUE
910	What metal has the highest melting point?	TRUE
911	Who developed the vaccination against polio?	TRUE
912	What is epilepsy?	TRUE
913	What year did the Titanic sink?	TRUE
914	Who was the first American to walk in space?	TRUE
915	What is a biosphere?	TRUE
916	What river in the US is known as the Big Muddy?	TRUE
917	What is bipolar disorder?	TRUE
918	What is cholesterol?	TRUE
919	Who developed the Macintosh computer?	TRUE
920	What is caffeine?	TRUE
921	What imaginary line is halfway between the North and South Poles?	TRUE
922	Where is John Wayne airport?	TRUE
923	What hemisphere is the Philippines in?	TRUE
924	What is the average speed of the horses at the Kentucky Derby?	TRUE
925	Where are the Rocky Mountains?	TRUE
926	What are invertebrates?	TRUE
927	What is the temperature at the center of the earth?	TRUE
928	When did John F. Kennedy get elected as President?	TRUE
929	How old was Elvis Presley when he died?	TRUE
930	Where is the Orinoco River?	TRUE
931	How far is the service line from the net in tennis?	TRUE
932	How much fiber should you have per day?	TRUE
933	How many Great Lakes are there?	TRUE
934	Material called linen is made from what plant?	TRUE
935	What is Teflon?	TRUE
936	What is amitriptyline?	TRUE
937	What is a shaman?	TRUE
938	What is the proper name for a female walrus?	TRUE
939	What is a group of turkeys called?	TRUE
940	How long did Rip Van Winkle sleep?	TRUE
941	What are triglycerides?	TRUE
942	How many liters in a gallon?	TRUE
943	What is the name of the chocolate company in San Francisco?	TRUE
944	What are amphibians?	TRUE
945	Who discovered x-rays?	TRUE
946	Which comedian's signature line is "Can we talk"?	TRUE
947	What is fibromyalgia?	TRUE
948	What is done with worn or outdated flags?	TRUE
949	What does cc in engines mean?	TRUE
950	When did Elvis Presley die?	TRUE
951	What is the capital of Yugoslavia?	TRUE
952	Where is Milan?	TRUE
953	What is the speed hummingbirds fly?	TRUE
954	What is the oldest city in the United States?	TRUE
955	What was W.C. Fields' real name?	TRUE
956	What river flows between Fargo, North Dakota and Moorhead, Minnesota?	TRUE
957	What do bats eat?	TRUE
958	What state did the Battle of Bighorn take place in?	TRUE
959	Who was Abraham Lincoln?	TRUE
960	What do you call a newborn kangaroo?	TRUE
961	What are spider veins?	TRUE
962	What day and month did John Lennon die?	TRUE
963	What strait separates North America from Asia?	TRUE
964	What is the population of Seattle?	TRUE
965	How much was a ticket for the Titanic?	TRUE
966	What is the largest city in the world?	TRUE
967	What American composer wrote the music for "West Side Story"?	TRUE
968	Where is the Mall of the America?	TRUE
969	What is the pH scale?	TRUE
970	What type of currency is used in Australia?	TRUE
971	How tall is the Gateway Arch in St. Louis, MO?	TRUE
972	How much does the human adult female brain weigh?	TRUE
973	Who was the first governor of Alaska?	TRUE
974	What is a prism?	TRUE
975	When was the first liver transplant?	TRUE
976	Who was elected president of South Africa in 1994?	TRUE
977	What is the population of China?	TRUE
978	When was Rosa Parks born?	TRUE
979	Why is a ladybug helpful?	TRUE
980	What is amoxicillin?	TRUE
981	Who was the first female United States Representative?	TRUE
982	What are xerophytes?	TRUE
983	What country did Ponce de Leon come from?	TRUE
984	The U.S. Department of Treasury first issued paper currency for the U.S. during which war?	TRUE
985	What is desktop publishing?	TRUE
986	What is the temperature of the sun's surface?	TRUE
987	What year did Canada join the United Nations?	TRUE
988	What is the oldest university in the US?	TRUE
989	Where is Prince Edward Island?	TRUE
990	Mercury, what year was it discovered?	TRUE
991	What is cryogenics?	TRUE
992	What are coral reefs?	TRUE
993	What is the longest major league baseball-winning streak?	TRUE
994	What is neurology?	TRUE
995	Who invented the calculator?	TRUE
996	How do you measure earthquakes?	TRUE
997	Who is Duke Ellington?	TRUE
998	What county is Phoenix, AZ in?	TRUE
999	What is a micron?	TRUE
1000	The sun's core, what is the temperature?	TRUE
1001	What is the Ohio state bird?	TRUE
1002	When were William Shakespeare's twins born?	TRUE
1003	What is the highest dam in the U.S.?	TRUE
1004	What color is a poison arrow frog?	TRUE
1005	What is acupuncture?	TRUE
1006	What is the length of the coastline of the state of Alaska?	TRUE
1007	What is the name of Neil Armstrong's wife?	TRUE
1008	What is Hawaii's state flower?	TRUE
1009	Who won Ms. American in 1989?	TRUE
1010	When did the Hindenberg crash?	TRUE
1011	What mineral helps prevent osteoporosis?	TRUE
1012	What was the last year that the Chicago Cubs won the World Series?	TRUE
1013	Where is Perth?	TRUE
1014	What year did WWII begin?	TRUE
1015	What is the diameter of a golf ball?	TRUE
1016	What is an eclipse?	TRUE
1017	Who discovered America?	TRUE
1018	What is the earth's diameter?	TRUE
1019	Which president was unmarried?	TRUE
1020	How wide is the Milky Way galaxy?	TRUE
